"lt_desc";"year";"date_ref";"sex";"age";"mx";"qx";"ax";"lx";"dx";"Lx";"Sx";"Tx";"ex"
"TABMORT CELADE 1950-1962";1962;1962.5;"m";77;0.092818;0.088701;0.5;0.268798;0.023843;0.256877;0.915292;1.83679;6.833343
"TABMORT CELADE 1950-1962";1962;1962.5;"m";78;0.101617;0.096703;0.5;0.244955;0.023688;0.233111;0.907483;1.579913;6.449799
"TABMORT CELADE 1950-1962";1962;1962.5;"m";79;0.11086;0.105038;0.5;0.221267;0.023241;0.209647;0.899341;1.346802;6.086762
"TABMORT CELADE 1950-1962";1962;1962.5;"m";80;0.120598;0.11374;0.5;0.198026;0.022523;0.186764;0.890853;1.137155;5.742455
"TABMORT CELADE 1950-1962";1962;1962.5;"m";81;0.130967;0.122918;0.5;0.175503;0.021572;0.164716;0.881948;0.950391;5.415254
"TABMORT CELADE 1950-1962";1962;1962.5;"m";82;0.142124;0.132694;0.5;0.15393;0.020426;0.143717;0.872514;0.785675;5.104099
"TABMORT CELADE 1950-1962";1962;1962.5;"m";83;0.154203;0.143165;0.5;0.133504;0.019113;0.123948;0.862442;0.641957;4.808509
"TABMORT CELADE 1950-1962";1962;1962.5;"m";84;0.167317;0.1544;0.5;0.114391;0.017662;0.10556;0.851651;0.518009;4.528399
"TABMORT CELADE 1950-1962";1962;1962.5;"m";85;0.181496;0.166396;0.5;0.096729;0.016095;0.088682;0.840104;0.412449;4.263954
"TABMORT CELADE 1950-1962";1962;1962.5;"m";86;0.196739;0.179119;0.5;0.080634;0.014443;0.073412;0.82782;0.323768;4.015279
"TABMORT CELADE 1950-1962";1962;1962.5;"m";87;0.213;0.192499;0.5;0.066191;0.012742;0.05982;0.814849;0.250355;3.782326
"TABMORT CELADE 1950-1962";1962;1962.5;"m";88;0.230216;0.206452;0.5;0.053449;0.011035;0.047932;0.801267;0.190535;3.564795
"TABMORT CELADE 1950-1962";1962;1962.5;"m";89;0.248336;0.220906;0.5;0.042414;0.00937;0.03773;0.787153;0.142603;3.362143
