"lt_desc";"year";"date_ref";"sex";"age";"mx";"qx";"ax";"lx";"Lx";"Tx";"Sx";"ex"
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";54;0.0152376294628784;0.0151224145878417;0.5;0.551907900810147;0.547734810764969;10.8160070204702;0.985245744450961;19.5974853858648
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";55;0.0160537164135632;0.0159258816199817;0.5;0.54356172071979;0.539233370911122;10.2682722097052;0.984478912629319;18.8907198912165
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";56;0.0169966057362935;0.0168533806035722;0.5;0.534905021102454;0.530397542148753;9.72903883879407;0.983614091339637;18.1883483141404
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";57;0.0181291905682285;0.0179663330305668;0.5;0.525890063195052;0.521165905188638;9.19864129664532;0.982594872286332;17.4915670411395
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";58;0.0195000641284942;0.0193117737155501;0.5;0.516441747182224;0.511455044102801;8.67747539145668;0.981367044564586;16.802428228938
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";59;0.0211225995932333;0.0209018489006896;0.5;0.506468341023377;0.501175278654851;8.16602034735388;0.9799009403339;16.123456662372
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";60;0.0229847357126242;0.0227235878816728;0.5;0.495882216286324;0.490248104725953;7.66484506869903;0.978196901574584;15.4569871976883
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";61;0.0250278549812762;0.0247185291004381;0.5;0.484613993165583;0.478624520619311;7.17459696397307;0.976290404808113;14.8047664020334
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";62;0.0271874035201061;0.0268227826128917;0.5;0.47263504807304;0.466296354498192;6.69597244335376;0.974242510381274;14.1673210030734
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";63;0.0294241453118425;0.0289975315212594;0.5;0.459957660923343;0.453288842537809;6.22967608885557;0.972104624376956;13.5440207177978
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";64;0.0317353228353906;0.0312396230736416;0.5;0.446620024152274;0.439643903546445;5.77638724631776;0.969897915609459;12.9335608211519
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";65;0.0342009855479158;0.0336259649768125;0.5;0.432667782940616;0.425393347082738;5.33674334277132;0.967586138807446;12.3345059493459
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";66;0.0369466071059156;0.0362764610294908;0.5;0.41811891122486;0.410534974030489;4.91134999568858;0.965071449391146;11.7462995904706
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";67;0.0401280717826975;0.039338777146116;0.5;0.402951036836118;0.395025236316672;4.50081502165809;0.962220666459795;11.1696325613094
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";68;0.043905070618552;0.0429619469609367;0.5;0.387099435797226;0.378784163082561;4.10578978534142;0.958885985651076;10.6065506835101
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";69;0.0483855419173495;0.0472426122204116;0.5;0.370468890367897;0.361717931304208;3.72700562225886;0.954944706136954;10.0602391163202
"TABMORT LC-LIM INTERP 1950-2019";1950;1950.5;"f";70;0.0536421678689653;0.0522410074240236;0.5;0.35296697224052;0.343747297131894;3.36528769095465;0.950318652692943;9.53428494907864
